	fixationN	duration	position	wordN	freq	freqClass	sentenceN	runN
299	6	181.0088447620887	35.51995888075098	7	10.0	1	38	1
300	7	302.34425014345527	40.93879949445692	9	1.0	0	38	1
301	8	176.12933287286148	44.6569356194633	9	1.0	0	38	1
302	9	296.3891611262702	50.610603745947095	10	4371.0	4	38	1
303	10	188.7173001145671	57.33286646891591	12	34.0	2	38	1
304	1	269.85768062092933	1.5	1	69974.0	5	39	1
305	2	194.0403684366814	5.648858278235643	2	831.0	3	39	1
306	3	174.49055912010624	15.234750839320004	4	78.0	2	39	1
307	4	120.37981782253556	12.170189326770664	3	220.0	2	39	1
308	5	267.9140227819423	17.424564524703264	4	78.0	2	39	1
309	6	245.5932385275359	24.538980161525522	5	3001.0	3	39	1
310	7	196.5612298471382	28.263912264635437	6	36414.0	5	39	1
311	8	432.9856669920302	37.20016513279846	8	1.0	0	39	1
312	9	307.9597436583769	55.65487507247164	12	31.0	1	39	1
313	1	241.92193127037532	1.5	1	69974.0	5	40	1
314	2	162.01893138618948	6.562737224424943	2	9.0	1	40	1
315	3	166.3553021341295	14.986249003627139	3	67.0	2	40	1
316	4	71.76921448009632	12.29736697649053	3	67.0	2	40	1
317	5	259.62072324470034	18.453467803218118	4	6994.0	4	40	1
318	6	258.5119804786546	24.762023784800895	5	1.0	0	40	1
319	7	225.48929853421262	30.749277115193713	6	28850.0	4	40	1
320	8	200.98960016950534	37.017445494318096	7	1601.0	3	40	1
321	9	215.17136972378327	45.736108757268816	9	22.0	1	40	1
322	10	138.18097180778105	50.172339572086116	9	22.0	1	40	1
323	11	151.98647736195403	62.85057443472217	12	103.0	2	40	1
324	1	251.7935980701062	1.5	1	69974.0	5	41	1
325	2	219.1734993641266	5.398182484695505	2	123.0	2	41	1
326	3	185.79200787806678	11.813495749694388	3	288.0	2	41	1
327	4	137.7928236191216	18.17390350078662	4	1.0	0	41	1
328	5	188.62947215997465	21.82889886802865	4	1.0	0	41	1
329	6	111.77064976920651	28.990471830280704	6	23127.0	4	41	1
330	7	181.41202083696837	32.154319645132766	7	1.0	0	41	1
331	8	207.53899064065106	34.94970783664845	7	1.0	0	41	1
332	9	106.46900252051185	42.29984236259019	8	81.0	2	41	1
333	1	229.05837802595894	1.5	1	69974.0	5	42	1
334	2	200.48945220168167	8.58161222646254	2	8.0	1	42	1
335	3	166.73628101073865	12.599768499308807	3	1.0	0	42	1
336	4	163.7310495658032	16.471501293894388	3	1.0	0	42	1
337	5	144.43217233739156	29.401343960875487	4	37.0	2	42	1
338	6	226.0688809261088	24.1434781482212	4	37.0	2	42	1
339	7	178.68725088761232	35.232353196825585	6	1.0	0	42	1
340	8	233.30476351783528	38.43196194798822	6	1.0	0	42	1
341	9	139.00736184938734	52.123607424178275	9	129.0	2	42	1
342	1	261.1291672342518	2.5	1	1068.0	3	43	1
343	2	137.10694621578358	9.657805234771805	2	34.0	2	43	1
344	3	106.0907717203579	14.061200523375401	2	34.0	2	43	1
345	4	148.16723586298198	6.837644604835148	2	34.0	2	43	1
346	5	143.32610431502056	11.016959796582958	2	34.0	2	43	1
347	6	1348.4967226171154	7.496811010600928	2	34.0	2	43	1
348	7	170.8782451404366	41.61709429362584	7	12.0	1	43	1
